Lum,BP-RP,Teff
0.839,1.0119,5311.0
0.074,1.9964,3845.5
2.053,0.8531,5788.33
0.055,2.3768,3456.5
2.701,0.9194,5432.0
3.726,1.0683,5084.76
1.308,0.9097,5474.0
0.215,1.347,4837.54
47.324,1.2736,4794.87
0.09,1.9088,3957.3
0.51,1.1731,4879.0
0.082,1.9883,3930.07
0.342,1.2784,5047.5
0.591,1.0739,5081.3
0.047,2.2927,3769.51
0.056,1.871,3878.0
1.203,1.0675,5191.87
0.184,1.3336,4719.92
1.435,0.8384,5740.55
1.325,0.7859,5873.5
64.381,1.391,4843.67
2.226,0.975,5300.49
0.388,1.1775,4974.72
0.393,1.3171,4977.21
0.372,1.1321,5360.96
0.273,1.3306,4974.0
0.844,1.082,5011.75
0.798,1.0607,5102.65
1.345,0.8748,5494.08
5.254,0.8313,5822.0
1.615,0.9404,5223.5
0.918,1.123,4971.33
0.163,1.3905,4786.72
0.142,1.3905,4775.71
0.187,1.3518,4698.34
0.622,1.1733,4908.03
0.601,1.1055,4904.24
1.609,0.7515,6173.62
1.137,1.12,5060.67
0.118,1.8211,3947.0
0.996,0.9657,5357.5
0.157,1.3997,4893.33
1.115,0.9916,5334.0
0.136,1.6,4265.33
0.314,1.1809,4879.0
0.215,1.4142,4756.0
0.181,1.5104,4226.36
0.141,1.7471,3973.99
11.184,0.802,5846.33
0.047,2.4796,3524.75
1.053,1.0512,5448.44
0.803,1.0337,5195.46
0.718,0.956,5362.25
0.354,1.151,4974.0
0.083,1.752,4201.0
0.155,1.4616,4498.02
0.056,2.2238,3526.0
1.323,1.0368,5071.61
0.493,1.2347,4878.37
0.86,1.0235,5312.66
0.334,1.3782,4687.01
2.614,0.9924,5209.53
0.386,1.171,4905.0
4.136,0.8264,5812.0
0.096,1.7472,4102.0
0.401,1.1793,4912.5
0.299,1.2714,5081.0
0.175,1.5115,4415.25
2.539,1.2279,4891.0
0.367,1.1798,4868.09
0.086,1.706,4108.27
0.364,1.2103,4913.0
0.447,1.0924,4994.74
1.198,0.8955,5557.36
1.98,1.0723,5086.96
0.24,1.6944,4136.94
0.253,1.3889,4476.26
0.553,1.133,4940.67
0.914,0.9814,5336.83
70.38,1.6686,4004.52
1.271,1.0269,5217.08
0.44,1.0113,5276.22
0.084,1.831,3956.89
0.349,1.14,4962.0
1.685,1.1804,4918.25
0.382,1.3052,5077.5
0.435,0.9958,5282.09
2.633,0.9492,5292.5
0.103,1.7942,4329.09
0.078,1.7473,4043.0
0.091,1.854,4034.0
0.192,1.2849,4837.88
2.078,0.8577,5698.33
0.352,1.1496,4940.0
0.417,1.2499,4929.25
3.414,1.0229,5113.2
0.207,1.4877,4535.75
0.384,1.1022,4953.0
0.091,1.8408,4100.58
1.996,0.9456,5320.0
1.162,1.0032,5330.0
0.048,2.1279,3627.33
2.565,0.8676,5706.25
2.885,1.0727,5047.5
0.226,1.3493,4808.02
0.715,0.9166,5443.6
0.298,1.1441,4961.3
1.635,0.8343,5746.77
0.051,2.2546,3546.0
0.565,1.0483,5099.5
2.05,0.8355,5726.62
0.748,0.9973,5252.06
0.341,1.3308,4735.02
0.575,0.9341,5139.35
13.786,1.3605,4796.44
2.365,0.9704,5398.0
0.179,1.2212,4849.0
0.901,0.9929,5344.0
0.571,1.3425,4705.33
0.561,1.1085,5010.68
0.063,1.9597,3844.33
0.144,1.4542,4638.62
0.338,1.1508,4925.0
0.488,1.1555,5023.42
0.111,1.7329,4258.9
1.806,0.7959,5846.0
0.968,0.9058,5399.6
0.568,0.9771,5334.33
0.082,1.9228,3814.67
0.307,1.2585,5091.75
1.982,1.1503,4951.55
0.105,1.6414,4319.0
4.842,0.8562,5706.33
0.329,1.1682,4980.95
0.172,1.7394,4104.0
0.424,1.0324,5149.0
0.484,1.075,5243.23
1.368,0.9889,5346.5
0.372,1.1603,4874.77
1.649,0.9636,5373.0
0.737,1.1742,4988.47
0.117,1.9988,3638.0
1.195,0.8424,5684.75
1.209,0.9974,5335.75
0.357,1.2226,4968.25
1.43,0.956,5364.75
0.742,1.1617,4933.0
0.729,0.9937,5252.0
0.417,1.1676,4912.5
0.165,1.6177,4299.0
0.325,1.2225,4853.75
0.444,1.132,5437.11
1.739,0.8702,5653.0
0.892,1.0694,5055.0
0.179,1.6109,4283.91
0.212,1.3511,4856.69
2.238,1.1236,4972.67
0.34,1.2154,4869.88
0.062,1.9352,4044.52
0.636,1.1516,4918.0
0.243,1.5213,4398.17
0.187,1.4452,4477.0
0.465,1.1102,4975.75
0.177,1.3983,4803.25
0.201,1.598,4268.5
0.045,2.1269,3584.75
0.262,1.2112,4793.78
0.282,1.4715,4453.5
0.151,1.4404,4412.19
1.71,1.0444,5234.16
1.08,1.1234,4950.73
0.084,1.8671,3900.0
0.085,1.8221,4164.96
0.22,1.4662,4449.87
